Factor,Method,F1-Score,Correlation,Strength
15,class_weighted,0.3322,0.2317,0.7823
15,class_weighted,0.3426,0.2421,0.78
20,class_weighted,0.2592,0.3556,0.7899
20,class_weighted,0.2354,0.3749,0.7754
20,class_weighted,0.199,0.3687,0.7796
20,class_weighted,0.4147,0.2894,0.8224
20,class_weighted,0.2752,0.2768,0.8186
20,class_weighted,0.2962,0.3227,0.7387
20,class_weighted,0.302,0.3019,0.7765
20,class_weighted,0.2746,0.3022,0.785
20,class_weighted,0.3051,0.276,0.7998
20,class_weighted,0.3538,0.3086,0.7991
20,class_weighted,0.2228,0.2825,0.7395
20,class_weighted,0.34,0.3057,0.8189
20,class_weighted,0.314,0.2313,0.8021
20,class_weighted,0.3,0.3007,0.7452
20,class_weighted,0.326,0.2523,0.8018
20,class_weighted,0.3022,0.3081,0.783
20,class_weighted,0.3276,0.2641,0.8029
20,class_weighted,0.2986,0.2771,0.7972
20,class_weighted,0.2857,0.2638,0.7345
