Factor, Method, F-score, Precision, Recall
20,undersampling,0.4001,0.3208,0.5350
20,undersampling,0.3982,0.3213,0.5306
20,undersampling,0.3980,0.3133,0.5566
20,undersampling,0.4222,0.3361,0.5727
20,undersampling,0.4046,0.3240,0.5468
20,undersampling,0.4315,0.3466,0.5737
20,undersampling,0.4089,0.3242,0.5581
20,undersampling,0.3794,0.3157,0.4869
20,undersampling,0.3974,0.3104,0.5629
20,undersampling,0.3954,0.3160,0.5293
20,undersampling,0.3752,0.3107,0.4865
20,undersampling,0.3961,0.3140,0.5402
20,undersampling,0.3952,0.3165,0.5300
20,undersampling,0.4043,0.3194,0.5521
20,undersampling,0.3972,0.3233,0.5255
20,undersampling,0.3986,0.3221,0.5243
