Factor, Method, F-score, Precision, Recall
20,class_weighted,0.9926,0.9919,0.9934
15,class_weighted,0.9927,0.9872,0.9984
20,class_weighted,0.9910,0.9903,0.9918
15,class_weighted,0.9919,0.9856,0.9984
15,class_weighted,0.9927,0.9903,0.9951
20,class_weighted,0.9919,0.9871,0.9967
15,class_weighted,0.9935,0.9903,0.9967
15,class_weighted,0.9918,0.9903,0.9934
20,class_weighted,0.9927,0.9887,0.9967
15,class_weighted,0.9918,0.9902,0.9934
15,class_weighted,0.9927,0.9888,0.9967
20,class_weighted,0.9918,0.9902,0.9934
20,class_weighted,0.9894,0.9870,0.9918
20,class_weighted,0.9927,0.9903,0.9951
20,class_weighted,0.9926,0.9902,0.9951
20,class_weighted,0.9934,0.9935,0.9934
20,class_weighted,0.9893,0.9870,0.9918
20,class_weighted,0.9935,0.9903,0.9967
20,class_weighted,0.9927,0.9887,0.9967
20,class_weighted,0.9927,0.9886,0.9967
20,class_weighted,0.9918,0.9887,0.9951
20,class_weighted,0.9902,0.9871,0.9934
