Factor,Method,F1-Score,Correlation,Strength
20,undersampling,0.3171,0.2233,0.7225
20,undersampling,0.266,0.2177,0.74
20,undersampling,0.309,0.2145,0.732
20,undersampling,0.2545,0.289,0.6962
20,undersampling,0.2839,0.2234,0.718
20,undersampling,0.2973,0.2102,0.7539
20,undersampling,0.2792,0.2569,0.695
20,undersampling,0.2008,0.2722,0.7347
20,undersampling,0.2929,0.248,0.7143
20,undersampling,0.2459,0.3128,0.7232
20,undersampling,0.2745,0.2428,0.7275
20,undersampling,0.2729,0.2396,0.7283
20,undersampling,0.2854,0.2634,0.7337
20,undersampling,0.2798,0.2277,0.752
