Factor,Method,F1-Score,Correlation,Strength
20,class_weighted,0.9521,0.3240,0.8801
20,class_weighted,0.9400,0.4186,0.8465
20,class_weighted,0.9369,0.3407,0.8419
20,class_weighted,0.9413,0.3919,0.8523
20,class_weighted,0.9339,0.3173,0.8347
20,class_weighted,0.9399,0.2911,0.8523
20,class_weighted,0.9572,0.4175,0.8936
20,class_weighted,0.9394,0.4614,0.8485
15,class_weighted,0.9677,0.1685,0.9187
15,class_weighted,0.9416,0.3745,0.8569
15,class_weighted,0.9539,0.2219,0.8839
15,class_weighted,0.9439,0.2204,0.8605
15,class_weighted,0.9509,0.3532,0.8803
15,class_weighted,0.9483,0.3362,0.8707
15,class_weighted,0.9296,0.4009,0.8306
20,class_weighted,0.9396,0.4036,0.8493
20,class_weighted,0.9297,0.3788,0.8278
20,class_weighted,0.9489,0.3285,0.8732
20,class_weighted,0.9548,nan,0.8858
20,class_weighted,0.9425,0.3414,0.8538
20,class_weighted,0.9341,0.3212,0.8381
20,class_weighted,0.9433,0.3438,0.8601
