Factor, Method, F-score, Precision, Recall
20,undersampling,0.9918,0.9887,0.9951
20,undersampling,0.9926,0.9919,0.9934
20,undersampling,0.9951,0.9919,0.9984
20,undersampling,0.9943,0.9904,0.9984
20,undersampling,0.9943,0.9903,0.9984
20,undersampling,0.9918,0.9886,0.9951
20,undersampling,0.9918,0.9887,0.9951
20,undersampling,0.9927,0.9888,0.9967
20,undersampling,0.9926,0.9903,0.9951
20,undersampling,0.9927,0.9887,0.9967
20,undersampling,0.9926,0.9903,0.9951
20,undersampling,0.9926,0.9902,0.9951
15,undersampling,0.9918,0.9902,0.9934
15,undersampling,0.9910,0.9903,0.9918
15,undersampling,0.9902,0.9855,0.9951
15,undersampling,0.9935,0.9903,0.9967
