Factor, Method, F-score, Precision, Recall
15,class_weighted,0.9421,0.9501,0.9344
15,class_weighted,0.9425,0.9534,0.9322
20,class_weighted,0.9408,0.9531,0.9289
20,class_weighted,0.9447,0.9571,0.9327
20,class_weighted,0.9443,0.9574,0.9316
20,class_weighted,0.9444,0.9519,0.9371
20,class_weighted,0.9422,0.9521,0.9327
20,class_weighted,0.9421,0.9549,0.9299
20,class_weighted,0.9437,0.9529,0.9349
20,class_weighted,0.9397,0.9509,0.9288
20,class_weighted,0.9452,0.9541,0.9366
20,class_weighted,0.9417,0.9526,0.9311
20,class_weighted,0.9392,0.9501,0.9288
20,class_weighted,0.9433,0.9548,0.9322
20,class_weighted,0.9426,0.9523,0.9333
20,class_weighted,0.9429,0.9523,0.9338
20,class_weighted,0.9440,0.9541,0.9344
20,class_weighted,0.9447,0.9565,0.9333
20,class_weighted,0.9429,0.9528,0.9333
20,class_weighted,0.9418,0.9525,0.9316
20,class_weighted,0.9423,0.9516,0.9333
20,class_weighted,0.9418,0.9511,0.9327
