Factor, Method, F-score, Precision, Recall
20,undersampling,0.5267,0.5509,0.5417
20,undersampling,0.5424,0.5659,0.5389
20,undersampling,0.5428,0.58,0.5333
20,undersampling,0.4486,0.3893,0.5361
20,undersampling,0.5162,0.4897,0.5806
20,undersampling,0.5285,0.5045,0.5611
20,undersampling,0.4898,0.4771,0.5361
20,undersampling,0.5405,0.5248,0.5833
20,undersampling,0.4946,0.4334,0.5861
20,undersampling,0.5898,0.5895,0.6083
20,undersampling,0.5545,0.606,0.5361
20,undersampling,0.5376,0.5502,0.5389
20,undersampling,0.5363,0.4952,0.5889
20,undersampling,0.6151,0.6719,0.5861
