Factor, Method, F-score, Precision, Recall
20,class_weighted,0.6835,0.8140,0.5923
15,class_weighted,0.6817,0.7649,0.6231
15,class_weighted,0.6895,0.7650,0.6308
20,class_weighted,0.6831,0.7978,0.6038
20,class_weighted,0.6743,0.7602,0.6077
20,class_weighted,0.6929,0.8022,0.6115
20,class_weighted,0.6851,0.8019,0.6000
20,class_weighted,0.6821,0.7624,0.6192
15,class_weighted,0.6702,0.8086,0.5731
15,class_weighted,0.6611,0.7602,0.5885
15,class_weighted,0.6785,0.7599,0.6154
15,class_weighted,0.6908,0.8120,0.6038
20,class_weighted,0.6851,0.8156,0.5923
20,class_weighted,0.6929,0.8076,0.6077
20,class_weighted,0.6805,0.7696,0.6115
20,class_weighted,0.6850,0.7921,0.6115
20,class_weighted,0.6855,0.7930,0.6038
20,class_weighted,0.6667,0.7669,0.5923
20,class_weighted,0.6865,0.8079,0.6000
20,class_weighted,0.6566,0.7552,0.5923
20,class_weighted,0.6951,0.7931,0.6192
20,class_weighted,0.6753,0.7768,0.6000
