Factor,Method,F1-Score,Correlation,Strength
20,undersampling,0.9772,nan,0.9594
20,undersampling,0.9837,nan,0.9712
20,undersampling,0.9836,nan,0.9708
20,undersampling,0.9868,nan,0.9767
20,undersampling,0.9832,nan,0.9698
20,undersampling,0.9824,nan,0.9688
20,undersampling,0.9828,nan,0.9695
15,undersampling,0.9776,0.3298,0.9599
15,undersampling,0.9798,nan,0.9641
15,undersampling,0.9792,0.3668,0.9631
15,undersampling,0.9791,0.2060,0.9625
