Factor,Method,F1-Score,Correlation,Strength
15,class_weighted,0.8689,0.3165,0.7901
15,class_weighted,0.8892,0.3043,0.8258
20,class_weighted,0.8876,0.3063,0.8220
20,class_weighted,0.8755,0.3441,0.8025
20,class_weighted,0.8703,0.3531,0.7944
20,class_weighted,0.8841,0.3370,0.8171
20,class_weighted,0.8733,0.3376,0.8002
20,class_weighted,0.8722,0.3475,0.8003
20,class_weighted,0.8773,0.3468,0.8042
20,class_weighted,0.8820,0.3515,0.8147
20,class_weighted,0.8872,0.3005,0.8192
20,class_weighted,0.8883,0.3442,0.8216
20,class_weighted,0.8717,0.3338,0.7937
20,class_weighted,0.8866,0.3489,0.8218
20,class_weighted,0.8818,0.3328,0.8128
20,class_weighted,0.8897,0.3400,0.8257
20,class_weighted,0.8782,0.3251,0.8078
20,class_weighted,0.8824,0.3362,0.8140
20,class_weighted,0.8818,0.3314,0.8121
20,class_weighted,0.8811,0.2944,0.8088
20,class_weighted,0.8713,0.3374,0.7948
20,class_weighted,0.8805,0.3356,0.8112
