Factor,Method,F1-Score,Correlation,Strength
15,undersampling,0.9427,0.3778,0.8570
15,undersampling,0.9390,0.3777,0.8453
15,undersampling,0.9548,0.2919,0.8882
20,undersampling,0.9424,0.3339,0.8558
20,undersampling,0.9505,0.3252,0.8765
20,undersampling,0.9427,0.3988,0.8574
20,undersampling,0.9541,nan,0.8856
20,undersampling,0.9371,0.3321,0.8418
20,undersampling,0.9333,0.3930,0.8329
20,undersampling,0.9410,0.3049,0.8515
20,undersampling,0.9554,nan,0.8891
20,undersampling,0.9370,0.4823,0.8388
20,undersampling,0.9416,0.2603,0.8550
20,undersampling,0.9366,0.3875,0.8403
20,undersampling,0.9345,0.3045,0.8370
20,undersampling,0.9282,0.3578,0.8222
