Factor, Method, F-score, Precision, Recall
20,class_weighted,0.9723,0.9644,0.9804
20,class_weighted,0.9709,0.9617,0.9804
20,class_weighted,0.9706,0.9694,0.9719
20,class_weighted,0.9695,0.9591,0.9805
20,class_weighted,0.9736,0.9670,0.9806
20,class_weighted,0.9737,0.9647,0.9832
20,class_weighted,0.9652,0.9619,0.9693
20,class_weighted,0.9762,0.9723,0.9803
15,class_weighted,0.9708,0.9671,0.9748
15,class_weighted,0.9654,0.9626,0.9692
15,class_weighted,0.9681,0.9617,0.9748
15,class_weighted,0.9639,0.9618,0.9664
15,class_weighted,0.9695,0.9650,0.9748
15,class_weighted,0.9706,0.9666,0.9748
15,class_weighted,0.9706,0.9673,0.9747
20,class_weighted,0.9708,0.9673,0.9748
20,class_weighted,0.9749,0.9697,0.9804
20,class_weighted,0.9662,0.9666,0.9663
20,class_weighted,0.9736,0.9670,0.9804
20,class_weighted,0.9762,0.9750,0.9776
20,class_weighted,0.9736,0.9647,0.9831
20,class_weighted,0.9670,0.9608,0.9748
