Factor,Method,F1-Score,Correlation,Strength
20,undersampling,0.8779,0.3730,0.8042
20,undersampling,0.8791,0.3128,0.8046
20,undersampling,0.8809,0.3190,0.8107
20,undersampling,0.8782,0.3050,0.8071
20,undersampling,0.8716,0.3493,0.7955
20,undersampling,0.8737,0.3520,0.7953
20,undersampling,0.8868,0.3032,0.8177
20,undersampling,0.8807,0.3111,0.8088
20,undersampling,0.8769,0.3525,0.8013
20,undersampling,0.8853,0.2798,0.8146
20,undersampling,0.8773,0.3034,0.8037
20,undersampling,0.8856,0.3112,0.8179
20,undersampling,0.8768,0.3236,0.8025
20,undersampling,0.8809,0.2989,0.8092
20,undersampling,0.8851,0.3210,0.8156
20,undersampling,0.8649,0.3659,0.7847
