Factor,Method,F1-Score,Correlation,Strength
20,class_weighted,0.4870,0.5067,0.9484
15,class_weighted,0.5091,0.4465,0.9445
15,class_weighted,0.5261,0.4367,0.9486
20,class_weighted,0.5427,0.4207,0.9549
20,class_weighted,0.5224,0.4914,0.9505
20,class_weighted,0.5865,0.3816,0.9582
20,class_weighted,0.5461,0.4357,0.9546
20,class_weighted,0.4973,0.4935,0.9523
15,class_weighted,0.5866,0.4201,0.9577
15,class_weighted,0.5206,0.4133,0.9481
15,class_weighted,0.5305,0.4271,0.9494
15,class_weighted,0.5400,0.4177,0.9520
20,class_weighted,0.5127,0.4184,0.9507
20,class_weighted,0.5463,0.4135,0.9546
20,class_weighted,0.5705,0.4106,0.9556
20,class_weighted,0.5670,0.4023,0.9533
20,class_weighted,0.4936,0.4671,0.9493
20,class_weighted,0.5180,0.4476,0.9500
20,class_weighted,0.5571,0.4422,0.9552
20,class_weighted,0.5665,0.3811,0.9515
20,class_weighted,0.5599,0.3976,0.9569
20,class_weighted,0.5341,0.4384,0.9513
